predicted_season,precip_category,year,JFM,MAM,JJA,year2,OND,low_mean_percent_anom,low_med_percent_anom,low_stdev_percent_anom,med_mean_percent_anom,med_med_percent_anom,med_stdev_percent_anom,high_mean_percent_anom,high_med_percent_anom,high_stdev_percent_anom
pred_spr_anpp,low,1980,0.5,0.4,0.3,1980,0.5,74.32713537,69.79446492,45.40749991,26.2892023,14.62363406,28.44504061,7.738791583,4.474650922,18.26897978
pred_spr_anpp,low,1981,-0.5,-0.4,-0.3,1981,0.1,-10.10565576,-7.459646974,17.24946289,-1.865101381,-0.700248036,12.51619405,2.710556778,-2.350638051,21.00319085
pred_spr_anpp,low,1982,0.1,0.5,0.8,1982,-0.2,21.4647457,22.0645337,21.23451177,15.66293203,10.60742714,16.48266886,-3.274677913,-3.768944212,15.19209838
pred_spr_anpp,low,1983,1.9,1.3,0.3,1983,2.2,57.2615459,53.82254469,43.86719219,35.06326195,9.107697584,55.36147556,24.03401978,12.01093396,40.24439173
pred_spr_anpp,low,1984,-0.4,-0.4,-0.3,1984,-1,-46.2905631,-43.93517923,40.58784604,-7.452245301,-2.660581202,22.96392931,5.672165849,-2.306392416,25.1296789
pred_spr_anpp,low,1985,-0.8,-0.8,-0.5,1985,-0.9,36.98504908,33.46699487,31.33822044,21.60778222,12.24254048,25.12145138,37.871847,31.80786052,22.98803354
pred_spr_anpp,low,1986,-0.5,-0.2,0.2,1986,-0.3,5.76262673,2.8701349,25.7621398,2.114528895,0.811748665,17.42786116,1.301044598,0.691124748,19.35262773
pred_spr_anpp,low,1987,1.2,0.9,1.5,1987,1.1,-11.8753271,-0.01300506,31.9474492,4.910343744,6.803322064,21.09405079,39.58531362,37.91223483,21.44960331
pred_spr_anpp,low,1988,0.5,-0.3,-1.3,1988,1.3,29.63858165,25.05397915,28.55998079,11.37685491,5.110410676,19.57798943,9.361935846,4.497067111,17.21923079
pred_spr_anpp,low,1989,-1.4,-0.8,-0.3,1989,-1.8,-29.82169308,-32.73797187,23.14019867,-14.46332793,-6.309235513,19.66355578,-19.54401479,-17.39020644,13.7008705
pred_spr_anpp,low,1990,0.2,0.3,0.3,1990,-0.2,-7.523594538,-3.11807756,25.16114684,-6.906740799,-1.089095852,19.6898081,-8.872595337,-6.53989102,12.2728008
pred_spr_anpp,low,1991,0.3,0.3,0.7,1991,0.4,16.6702388,10.78746652,27.08318564,8.708308971,1.305108144,20.42158689,2.194908412,-3.273769388,24.95896221
pred_spr_anpp,low,1992,1.6,1.3,0.4,1992,1.2,102.9321821,92.04502668,77.49989844,52.42932738,12.29516016,79.17640752,50.8294161,43.30907593,42.2853713
pred_spr_anpp,low,1993,0.3,0.7,0.3,1993,-0.3,101.0237086,76.48203786,85.40057739,59.89129502,17.5350339,95.95965288,23.491878,7.553563652,48.11834377
pred_spr_anpp,low,1994,0.1,0.3,0.4,1994,0,-6.64057288,-4.413781945,25.07664069,2.688822039,0.220709375,13.7516024,1.028866569,0.385091007,14.3696423
pred_spr_anpp,low,1995,0.7,0.3,-0.2,1995,1,60.42675967,59.27123737,43.42383955,19.47181976,8.119388714,27.01089468,11.97907819,2.60742879,34.82141624
pred_spr_anpp,low,1996,-0.8,-0.4,-0.3,1996,-1,-58.75111773,-70.55059058,32.31790609,-32.95337207,-11.25361435,40.23001099,-35.00437389,-35.17957219,20.59925136
pred_spr_anpp,low,1997,-0.4,0.3,1.6,1997,-0.4,-25.39546702,-23.02480537,27.27074198,-10.35431072,-1.332036171,24.62901681,10.14516234,6.57166659,18.52092984
pred_spr_anpp,low,1998,1.9,1,-0.8,1998,2.4,57.98666731,52.29207171,48.89150309,29.65308302,5.425773031,53.57009378,17.58763539,5.955438845,38.02348651
